Date,Price,Open,High,Low,Vol.,Change %
5-Aug-21,37.408,35.706,38.169,35.596,-,4.77%
4-Aug-21,35.706,33.96,36.6,33.326,-,5.14%
3-Aug-21,33.96,33.169,35.762,32.2,-,2.38%
2-Aug-21,33.169,34.276,35.837,33.098,-,-3.23%
1-Aug-21,34.276,36.709,36.752,33.5,-,-6.63%
31-Jul-21,36.709,32.356,36.796,31.8,-,13.45%
30-Jul-21,32.356,31.268,33.009,30.086,-,3.48%
29-Jul-21,31.268,27.857,31.912,27.374,-,12.24%
28-Jul-21,27.857,28.018,28.62,27.5,-,-0.57%
27-Jul-21,28.018,28.251,28.886,27,-,-0.82%
26-Jul-21,28.251,28.133,31.039,27.952,-,0.42%
25-Jul-21,28.133,27.868,28.133,26.595,-,-2.04%
24-Jul-21,28.72,28.47,29.4,28.328,-,0.88%
23-Jul-21,28.47,27.748,28.655,26.42,-,2.60%
22-Jul-21,27.748,26.641,28.05,26.003,-,4.16%
21-Jul-21,26.641,23.482,27.353,22.846,-,13.45%
20-Jul-21,23.482,24.495,24.912,22.23,-,-4.14%
19-Jul-21,24.495,26.726,26.726,24.059,-,-8.35%
18-Jul-21,26.726,26.715,27.725,26.34,-,0.04%
17-Jul-21,26.715,26.307,27.745,26.035,-,1.55%
16-Jul-21,26.307,28.456,29.401,26.274,-,-7.55%
15-Jul-21,28.456,31.259,31.426,28.08,-,-8.97%
14-Jul-21,31.259,29.052,31.393,27.513,-,7.60%
13-Jul-21,29.052,30.88,30.995,29,-,-5.92%
12-Jul-21,30.88,32.115,32.6,30.102,-,-3.85%
11-Jul-21,32.115,31.73,32.454,31.464,-,1.21%
10-Jul-21,31.73,33.364,34.192,31.1,-,-4.90%
9-Jul-21,33.364,33.258,34.381,32.287,-,1.40%
8-Jul-21,32.902,36.537,36.772,32.864,-,-9.95%
7-Jul-21,36.537,34.196,37.904,34.196,-,8.60%
6-Jul-21,33.643,32.966,34.443,32.966,-,2.05%
5-Jul-21,32.966,34.36,34.36,32.594,-,-4.06%
4-Jul-21,34.36,35.055,35.295,34.299,-,-1.27%
3-Jul-21,34.801,34,35.261,33.357,-,2.36%
2-Jul-21,34,33.375,34,31.655,-,1.87%
1-Jul-21,33.375,35.536,36.115,32,-,-6.08%
30-Jun-21,35.536,33.885,35.861,31.315,-,4.87%
29-Jun-21,33.885,32.99,35.5,32.834,-,2.71%
28-Jun-21,32.99,31.821,33.745,31.155,-,3.67%
27-Jun-21,31.821,29.554,31.821,29.428,-,7.67%
26-Jun-21,29.554,28.797,29.878,26.998,-,2.63%
25-Jun-21,28.797,31.245,32.684,28.53,-,-7.83%
24-Jun-21,31.245,30.855,32.446,28.678,-,1.26%
23-Jun-21,30.855,26.685,32.09,26.042,-,15.63%
22-Jun-21,26.685,26.601,28.233,20.472,-,0.32%
21-Jun-21,26.601,35.32,35.799,26.08,-,-24.69%
